"","X","...1","Kingdom","Phylum","Class","Order","Family","GENUS","Species","primary_lifestyle","Secondary_lifestyle","Decay_type_template","Specific_hosts","Fruitbody_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template"
"26","sp29",29,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","areolatum","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"27","sp30",30,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","areolatum","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"28","sp31",31,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","ellisii","ectomycorrhizal",NA,NA,NA,"corticioid","medium-distance_smooth","/tomentella-thelephora"
"29","sp32",32,"Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia",NA,"wood_saprotroph",NA,NA,NA,"tremelloid",NA,NA
"30","sp33",33,"Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Sporothrix","rossii","plant_pathogen","wood_saprotroph",NA,NA,"none",NA,NA
"31","sp34",34,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","verrucosum","ectomycorrhizal",NA,NA,NA,"gasteroid","long-distance","/pisolithus-scleroderma"
"32","sp35",35,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"33","sp37",37,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","terrestris","ectomycorrhizal",NA,NA,NA,"clavarioid","medium-distance_smooth","/tomentella-thelephora"
"34","sp38",38,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","candidum","ectomycorrhizal",NA,NA,NA,"gasteroid-hypogeous","short-distance_delicate","/tuber-helvella"
"35","sp39",39,"Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Monosporascus",NA,"plant_pathogen",NA,NA,NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"36","sp40",40,"Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","schulzeri","soil_saprotroph",NA,NA,NA,"none",NA,NA
"37","sp41",41,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",NA,"plant_pathogen","litter_saprotroph","soft_rot",NA,"perithecium_(hymenium_hidden,_narrow_opening)",NA,NA
"38","sp43",43,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"ectomycorrhizal",NA,NA,NA,"agaricoid","short-distance_delicate","/laccaria"
